time,score
1109,-490
1109,-489
1110,-488
1110,-487
1111,-466
1111,-465
1112,-464
1113,-463
1113,-462
1114,-461
1114,-460
1115,-459
1117,-446
1117,-445
1118,-444
1119,-443
1137,-442
1168,-435
1168,-434
1169,-433
1176,-432
1176,-431
1224,-418
1224,-417
1224,-416
1225,-415
1240,-407
1240,-406
1241,-405
1277,-404
1278,-403
1279,-402
1774,-401
1775,-400
1775,-399
1776,-398
1776,-397
1777,-396
1777,-395
1802,-382
1802,-381
1803,-380
1803,-379
1908,-367
1909,-366
1909,-365
1920,-364
1920,-363
1981,-362
4744,-342
4744,-341
4745,-340
4745,-339
4788,-338
41465,-337
96955,-327
96956,-326
96956,-325
96957,-324
97133,-323
97745,-322
107420,-321
