time,score
514,-538
515,-537
515,-536
515,-535
516,-534
518,-519
519,-518
519,-517
520,-516
523,-515
523,-514
532,-513
533,-512
534,-507
534,-506
534,-505
535,-504
537,-503
537,-502
543,-501
543,-500
543,-491
543,-490
544,-489
544,-488
548,-487
549,-486
567,-485
580,-484
581,-475
581,-474
582,-473
583,-472
584,-471
585,-470
590,-469
590,-468
593,-467
594,-466
797,-451
798,-450
798,-449
799,-448
802,-447
803,-446
1984,-445
15958,-444
216723,-443
234512,-439
234512,-438
234513,-437
234514,-436
234538,-435
234539,-434
234922,-419
234923,-418
234924,-417
234925,-416
234929,-415
234930,-414
236544,-413
262565,-412
