time,score
608,-515
608,-514
609,-513
613,-512
623,-511
641,-500
642,-499
642,-498
644,-497
648,-496
659,-495
712,-488
712,-487
713,-486
714,-485
717,-484
728,-483
1113,-468
1113,-467
1113,-466
1113,-465
1115,-464
1126,-463
1344,-462
1345,-461
1348,-460
1359,-459
1366,-456
1367,-455
1368,-454
1369,-453
1372,-452
1385,-451
2480,-448
2481,-447
2482,-446
2483,-445
2486,-444
2497,-443
2518,-436
2519,-435
2519,-434
2520,-433
2523,-432
2534,-431
7935,-430
7936,-429
7939,-428
7950,-427
7973,-424
7974,-423
7975,-422
7976,-421
7979,-420
7992,-419
60611,-408
60612,-407
60612,-406
60612,-405
60615,-404
60628,-403
