time,score
4581,-469
4581,-468
4582,-467
4583,-466
4590,-445
4590,-444
4590,-443
4591,-442
4637,-441
4673,-424
4673,-423
4674,-422
4675,-421
6288,-420
6292,-419
6293,-418
6327,-397
6328,-396
6328,-395
6329,-394
6489,-390
6490,-389
6491,-388
6637,-387
6638,-386
6817,-385
8847,-384
9292,-374
9292,-373
9293,-372
9626,-370
9626,-369
9627,-368
9634,-350
9634,-349
9635,-348
9947,-347
9948,-346
11242,-345
20350,-344
46677,-343
46677,-342
46679,-341
46727,-328
46727,-327
46728,-326
46729,-325
46922,-324
95225,-302
95226,-301
95226,-300
95374,-299
95375,-298
96092,-297
102699,-296
