time,score
689,-540
690,-539
690,-538
691,-537
694,-536
706,-535
751,-524
751,-523
751,-522
752,-521
755,-520
768,-519
976,-516
976,-515
976,-514
977,-513
980,-512
992,-511
1628,-500
1628,-499
1629,-498
1629,-497
1633,-496
1645,-495
2606,-488
2607,-487
2607,-486
2607,-485
2611,-484
2623,-483
6521,-480
6521,-479
6521,-478
6522,-477
6525,-476
6538,-475
13233,-464
13233,-463
13234,-462
13234,-461
13238,-460
13251,-459
38691,-452
38691,-451
38691,-450
38692,-449
38695,-448
38708,-447
39128,-446
39129,-445
39132,-444
39145,-443
190813,-436
190813,-435
190813,-434
190814,-433
190818,-432
190833,-431
586068,-430
586068,-429
586072,-428
586086,-427
587316,-424
587316,-423
587316,-422
587317,-421
587321,-420
587335,-419
